,Total Downloads Since First Tracked (USA),Total Revenue Since First Tracked (USA),Total Downloads Since First Tracked (Global),Total Revenue Since First Tracked (Global),"""USA Daily Active Users (Past 30 days)""","""USA Monthly Active Users (Past 30 days)""","""Global Daily Active Users (Past 30 days)""","""Global Monthly Active Users (Past 30 days)"""
Stop Panic & Anxiety Self-Help: Meditate Sleep Relax,"1,500","$3,100.00","2,100","$4,500.00",34,333,35,348
MoodMaster Anti-Depression App,920,"$2,600.00","1,400","$3,900.00",34,319,71,581
Panic Relief (Paid),"1,900","$1,300.00","8,600","$6,000",34,324,116,"1,100"
Baby Dreams Pro,"3,000","$1,200.00","10,300","$8,900.00",33,295,115,"1,000"
Thinkup: Gift Premium,"1,900","$26,500.00","2,100","$28,800.00",32,313,34,333
Stress Release Hypnosis,"3,000","$7,500.00","24,600","$16,700.00",32,292,297,"2,700"
Baby Sleep Fan,"1,900",$0.00,"5,500",$0,32,322,97,973
Schizophrenia HealthStorylines,377,$0.00,576,$0,32,289,50,448
SARDAA Health Storylines,377,$0.00,576,0,32,289,50,448
Anxiety Symptoms,222,$185.00,876,$686,31,177,113,678
MoodMission,"1,900",$16.00,"13,900",$65,30,299,251,"2,400"
FearTools – Anxiety Aid,"2,100",$0.00,"8,300",$0,29,298,127,"1,300"
iRelease: Guided meditation to relieve stress and increase energy instantly,"2,000",$0.00,"6,500",$0,27,257,81,760
"Melodies Sleep: Meditation - Relax zen sounds & white noise for meditation, yoga and baby relaxation","1,600",$0.00,"16,000",$0,25,251,243,"2,400"
Stop Panic Attack! Overcome Panic Attacks by Hypnosis,121,"$1,203,070.03",467,"$20,100.00",24,97,86,349
Hypnosis for Sleep & Dreaming,"1,300","$4,000.00","5,700","$6,800.00",23,225,83,832
Welli,"1,700",$353.00,"7,700",$413,22,206,84,777
Angel Staircase Meditations,"1,800","$7,700.00","13,000","$22,500.00",16,146,128,"1,200"
Stop Smoking In 2 Hours,"1,100","$1,400.00","37,300","$10,100.00",16,164,"1,000","10,100"
Catch It,"1,300",$0.00,"24,400",$0,16,154,456,"4,100"
Beat Panic,882,$613.00,"2,900","$2,100.00",15,137,69,623
Celtic Mindfulness Exercises,"1,300","$2,400.00","3,300","$2,500.00",14,131,36,344
Thrive: Feel Stress Free,896,"$12,500.00","18,300","$64,500.00",12,116,276,"2,600"
Birdhouse – For Special Needs,576,$0.00,"1,100",$0,11,103,15,146
Panic Relief Free,820,$0.00,"17,000",$0,10,101,181,"1,700"
DMHS Suicide Prevention and Crisis Access Linkage Line (C.A.L.L.),144,$0.00,"1,100",$0,10,100,67,573
The Breathing Butterfly,778,$0.00,"3,000",$0,9,86,24,223
Social Anxiety Test,421,$0.00,"3,000",$0,8,87,44,446
MoodCalmer – CCBT,118,$0.00,376,$0,8,86,21,189
Muse Direct,103,"$3,100.00","1,600","$8,300",6,65,158,"1,100"
Imagine All Better,487,"$3,000.00",538,"$3,300.00",6,58,6,71
Hypnosis for Anxiety & Fear Meditation,328,"$2,900.00","1,700","$7,100.00",6,63,24,252
Mindfulness by Digipill (Paid),622,$804.00,"12,000","$16,200.00",6,56,170,"1,600"
Fear Nix for Fears and Phobias,200,$159.00,"1,400",$236,6,64,24,259
Depression Symptoms,500,$251.00,"2,000",$433,5,48,19,181
Music for Coping with Panic Attack and Anxiety,236,"$1,200.00","9,000","$12,400.00",4,42,146,"1,600"
Wildflowers Mindfulness,244,$183.00,"30,900",14500,4,42,449,"4,100"
PTSD STOPS HERE!,266,$0.00,"1,200",$222,4,39,14,142
Anxiety & Fear Audio Companion,134,$430.00,"1,100",$880,3,39,20,212
No Panic's Self Helper,156,$0.00,625,$0,3,33,10,103
"Anxiety Island - work with your child to help overcome fear, phobia and anxiety",169,$467.00,319,$711,2,20,3,35
Emergency First Aid - Acupressure Massage Points! (Paid),103,$288.00,499,"$1,400.00",2,20,4,39
Anxiety in Order,111,$0.00,886,$0,2,23,34,307
Worry knot,133,$0.00,"1,100",$0,2,21,13,138
Moods Tracker,110,$0.00,719,$0,2,19,7,72
"9zest FixHealth - Pain, Stress",110,$0.00,487,$380,2,20,6,64
Noggin Notes - Mental Health,104,$0.00,339,$0,2,19,4,38
Get Rid Of Depression with Acupressure Massage! (Paid),93,$195.00,499,"$1,000",1,10,3,30
Hetty’s Hospital,95,$0.00,"3,600",$0,1,15,76,796
Marblesapp,14,$0.00,189,$0,1,7,9,80
Depression Help,41,$0.00,196,$0,1,11,2,29
Lantern Health,"21,700","$7,500.00","23,700","$8,300.00",0,0,"2,500","18,600"
Bust PTSD,74,"$2,300.00",105,2500,0,0,0,0
Serenita - Stress & Anxiety,"5,600",$488.00,"10,200","$2,500.00",0,0,55,529
Meditable: Editable Meditation,0,$323.00,"2,100",$851,0,0,32,317
"TruReach – Anxiety, Stress & Depression",747,$169.00,"9,300","$1,500.00",0,0,138,"1,300"
Calmster (Paid),113,$167.00,"2,300","$3,500.00",0,0,37,367
Stress Less Cards,0,$139.00,"2,400","$1,500.00",0,0,33,300
Vital-EQ Respiroguide (Paid),139,$96.00,"15,900","$10,800.00",0,0,256,"2,200"
Calmster (Free),209,$81.00,"37,700","$2,200.00",0,0,522,"5,700"
MoodSentry,30,$34.00,358,$423,0,0,4,36
Quit Now: My QuitBuddy,"3,300",$0.00,"295,100",$0,0,0,"59,400","233,100"
Donat Mg Moments,28,$0.00,"43,500",$0,0,0,"3,000","27,800"
WellMind,129,$0.00,"77,100",$0,0,0,"2,600","23,500"
ReachOut Breathe,"2,900",$0.00,"69,200",0,0,0,"2,300","21,400"
ReachOut WorryTime,16,$0.00,"40,900",0,0,0,"2,300","17,200"
My Possible Self,0,$0.00,"12,900","$1,100.00",0,0,"2,300","9,300"
Daily Challenge,"9,000",$0.00,"24,200",$0.00,0,0,"1,100","9,300"
Elefriends,0,$0.00,"14,200",$0,0,0,393,"3,700"
Brain In Hand,0,$0.00,"10,700",$0,0,0,343,"3,100"
Anxiety Test,42,$0.00,"19,500",$93,0,0,307,"2,800"
